,frequency,mag,phase
0,0.0,,
1,0.006135923151542565,,
2,0.01227184630308513,,
3,0.018407769454627694,,
4,0.02454369260617026,,
5,0.03067961575771282,,
6,0.03681553890925539,,
7,0.04295146206079795,,
8,0.04908738521234052,,
9,0.05522330836388308,,
10,0.06135923151542564,,
11,0.0674951546669682,,
12,0.07363107781851078,,
13,0.07976700097005335,,
14,0.0859029241215959,,
15,0.09203884727313846,,
16,0.09817477042468103,,
17,0.1043106935762236,,
18,0.11044661672776616,,
19,0.11658253987930872,,
20,0.12271846303085128,,
21,0.12885438618239387,,
22,0.1349903093339364,,
23,0.14112623248547898,,
24,0.14726215563702155,,
25,0.15339807878856412,,
26,0.1595340019401067,,
27,0.16566992509164924,,
28,0.1718058482431918,,
29,0.17794177139473438,,
30,0.18407769454627693,,
31,0.1902136176978195,,
32,0.19634954084936207,,
33,0.20248546400090464,,
34,0.2086213871524472,,
35,0.21475731030398978,,
36,0.22089323345553233,,
37,0.2270291566070749,,
38,0.23316507975861744,,
39,0.23930100291016002,,
40,0.24543692606170256,,
41,0.25157284921324513,,
42,0.25770877236478773,,
43,0.2638446955163303,,
44,0.2699806186678728,,
45,0.2761165418194154,,
46,0.28225246497095796,,
47,0.28838838812250056,,
48,0.2945243112740431,,
49,0.30066023442558565,,
50,0.30679615757712825,,
51,0.3129320807286708,,
52,0.3190680038802134,,
53,0.32520392703175593,,
54,0.3313398501832985,,
55,0.3374757733348411,,
56,0.3436116964863836,,
57,0.34974761963792617,,
58,0.35588354278946877,,
59,0.36201946594101125,,
60,0.36815538909255385,,
61,0.37429131224409645,,
62,0.380427235395639,,
63,0.3865631585471816,,
64,0.39269908169872414,,
65,0.3988350048502667,,
66,0.4049709280018093,,
67,0.4111068511533518,,
68,0.4172427743048944,,
69,0.42337869745643697,,
70,0.42951462060797957,,
71,0.43565054375952206,,
72,0.44178646691106466,,
73,0.4479223900626072,,
74,0.4540583132141498,,
75,0.46019423636569234,,
76,0.4663301595172349,,
77,0.4724660826687775,,
78,0.47860200582032003,,
79,0.48473792897186263,,
80,0.4908738521234051,,
81,0.4970097752749478,,
82,0.5031456984264903,,
83,0.5092816215780329,,
84,0.5154175447295755,,
85,0.521553467881118,,
86,0.5276893910326605,,
87,0.5338253141842031,,
88,0.5399612373357456,,
89,0.5460971604872883,,
90,0.5522330836388308,,
91,0.5583690067903734,,
92,0.5645049299419159,,
93,0.5706408530934585,,
94,0.5767767762450011,,
95,0.5829126993965437,,
96,0.5890486225480862,,
97,0.5951845456996288,,
98,0.6013204688511713,,
99,0.607456392002714,,
100,0.6135923151542565,,
101,0.619728238305799,,
102,0.6258641614573416,,
103,0.6320000846088841,,
104,0.6381360077604268,,
105,0.6442719309119693,,
106,0.6504078540635119,,
107,0.6565437772150543,,
108,0.662679700366597,,
109,0.6688156235181395,,
110,0.6749515466696822,,
111,0.6810874698212248,,
112,0.6872233929727672,,
113,0.6933593161243098,,
114,0.6994952392758523,,
115,0.705631162427395,,
116,0.7117670855789375,,
117,0.7179030087304801,,
118,0.7240389318820225,,
119,0.7301748550335652,,
120,0.7363107781851077,,
121,0.7424467013366504,,
122,0.7485826244881929,,
123,0.7547185476397354,,
124,0.760854470791278,,
125,0.7669903939428205,,
126,0.7731263170943632,,
127,0.7792622402459057,,
128,0.7853981633974483,,
129,0.7915340865489909,,
130,0.7976700097005334,,
131,0.8038059328520759,,
132,0.8099418560036186,,
133,0.8160777791551611,,
134,0.8222137023067037,,
135,0.8283496254582462,,
136,0.8344855486097889,,
137,0.8406214717613314,,
138,0.8467573949128739,,
139,0.8528933180644165,,
140,0.8590292412159591,,
141,0.8651651643675016,,
142,0.8713010875190441,,
143,0.8774370106705868,,
144,0.8835729338221293,,
145,0.8897088569736719,,
146,0.8958447801252144,,
147,0.9019807032767571,,
148,0.9081166264282996,,
149,0.9142525495798421,,
150,0.9203884727313847,,
151,0.9265243958829273,,
152,0.9326603190344698,,
153,0.9387962421860125,,
154,0.944932165337555,,
155,0.9510680884890975,,
156,0.9572040116406401,,
157,0.9633399347921826,,
158,0.9694758579437253,,
159,0.9756117810952678,,
160,0.9817477042468102,,
161,0.9878836273983529,,
162,0.9940195505498955,,
163,1.000155473701438,,
164,1.0062913968529805,,
165,1.012427320004523,,
166,1.0185632431560658,,
167,1.0246991663076084,,
168,1.030835089459151,,
169,1.0369710126106935,,
170,1.043106935762236,,
171,1.0492428589137786,,
172,1.055378782065321,,
173,1.0615147052168636,,
174,1.0676506283684062,,
175,1.0737865515199487,,
176,1.0799224746714913,,
177,1.086058397823034,,
178,1.0921943209745766,,
179,1.0983302441261191,,
180,1.1044661672776617,,
181,1.1106020904292042,,
182,1.1167380135807468,,
183,1.1228739367322893,,
184,1.1290098598838318,,
185,1.1351457830353744,,
186,1.141281706186917,,
187,1.1474176293384597,,
188,1.1535535524900022,,
189,1.1596894756415448,,
190,1.1658253987930873,,
191,1.1719613219446299,,
192,1.1780972450961724,,
193,1.184233168247715,,
194,1.1903690913992575,,
195,1.1965050145508,,
196,1.2026409377023426,,
197,1.2087768608538851,,
198,1.214912784005428,,
199,1.2210487071569704,,
200,1.227184630308513,,
201,1.2333205534600555,,
202,1.239456476611598,,
203,1.2455923997631406,,
204,1.2517283229146832,,
205,1.2578642460662257,,
206,1.2640001692177683,,
207,1.2701360923693108,,
208,1.2762720155208536,,
209,1.2824079386723959,,
210,1.2885438618239387,,
211,1.2946797849754812,,
212,1.3008157081270237,,
213,1.3069516312785663,,
214,1.3130875544301086,,
215,1.3192234775816514,,
216,1.325359400733194,,
217,1.3314953238847365,,
218,1.337631247036279,,
219,1.3437671701878218,,
220,1.3499030933393643,,
221,1.3560390164909069,,
222,1.3621749396424496,,
223,1.368310862793992,,
224,1.3744467859455345,,
225,1.380582709097077,,
226,1.3867186322486196,,
227,1.3928545554001623,,
228,1.3989904785517047,,
229,1.4051264017032472,,
230,1.41126232485479,,
231,1.4173982480063327,,
232,1.423534171157875,,
233,1.4296700943094176,,
234,1.4358060174609601,,
235,1.4419419406125027,,
236,1.448077863764045,,
237,1.4542137869155878,,
238,1.4603497100671303,,
239,1.4664856332186729,,
240,1.4726215563702154,,
241,1.4787574795217582,,
242,1.4848934026733007,,
243,1.4910293258248433,,
244,1.4971652489763858,,
245,1.5033011721279281,,
246,1.509437095279471,,
247,1.5155730184310134,,
248,1.521708941582556,,
249,1.5278448647340988,,
250,1.533980787885641,,
251,1.5401167110371838,,
252,1.5462526341887264,,
253,1.5523885573402691,,
254,1.5585244804918115,,
255,1.564660403643354,,
256,1.5707963267948966,,
257,1.576932249946439,,
258,1.5830681730979819,,
259,1.5892040962495242,,
260,1.5953400194010667,,
261,1.6014759425526093,,
