,in,out
0,126.0,132.7635
1,144.0,-62.455637249999995
2,152.0,163.40619524525
3,155.0,-64.19865514460037
4,155.0,152.25572148089861
5,156.0,-46.19033434935967
6,155.0,131.61079107071225
7,142.0,-39.266478851672844
8,100.0,78.37692773356018
9,74.0,-28.140553437956925
10,48.0,43.08634769085356
11,142.0,89.78990870801114
12,104.0,-61.87667746049644
13,99.0,135.29976475869714
14,82.0,-92.00131346196692
15,94.0,152.4520545614966
16,206.0,22.6404452417776
17,198.0,68.73388720596834
18,204.0,75.94835249791221
19,102.0,-60.963191609562145
20,208.0,250.78783900451998
21,88.0,-265.30816662823787
22,212.0,465.072410875685
23,206.0,-356.0728271169729
24,171.0,435.9518310025226
25,183.0,-284.8903479901149
26,59.0,236.46233142742872
27,211.0,8.098383338824487
28,168.0,15.972833163012208
29,42.0,1.300448082332224
30,46.0,33.766776208796394
31,46.0,-7.9670168252851195
32,46.0,36.573940479223644
33,46.0,-7.110295044906795
34,46.0,33.86190999563886
35,52.0,2.411330147758439
36,79.0,53.792214533642586
37,107.0,20.438178094444183
38,126.0,59.53327560743921
39,106.0,-1.9387795468560616
40,66.0,29.843676501882975
41,63.0,15.380208643140566
42,59.0,16.058346091407792
43,74.0,37.857119955084315
44,102.0,32.24663200572879
45,130.0,54.848440351524545
46,178.0,70.4321664996825
47,172.0,25.93676148390168
48,143.0,55.00958393730251
49,80.0,-25.081250457911004
50,26.0,28.48985265444694
51,27.0,-3.3937025984754974
52,35.0,23.071835667165022
53,43.0,8.087746812750817
54,48.0,20.761330049282694
55,67.0,28.54523534165616
56,72.0,13.976906292104234
57,90.0,49.011127953922426
58,179.0,92.6850114624924
59,119.0,-57.09099162331503
60,71.0,97.82366673629659
61,66.0,-53.00351103369322
62,63.0,84.85037327268567
63,48.0,-53.90169411403633
64,46.0,77.45095044649666
65,39.0,-50.2682354691094
66,32.0,62.59465778231728
67,103.0,34.77777494716213
68,103.0,10.92798515531057
69,107.0,64.82744295884898
70,134.0,24.897598530796778
71,151.0,70.12391152379816
72,159.0,31.28024794853872
73,171.0,76.25351151543907
74,180.0,38.44055723931211
75,184.0,73.91598787371889
76,184.0,41.201923374085894
77,184.0,70.83768954076064
78,184.0,44.314467168934286
79,184.0,67.86559708892553
80,186.0,49.0603908660671
81,186.0,64.27232066424469
82,184.0,49.71399495472658
83,184.0,63.364998435210644
84,175.0,41.86429586485275
85,158.0,50.105941839126984
86,155.0,47.556990833572456
87,144.0,36.14904966796098
88,140.0,51.117025720108714
89,112.0,7.352202766591105
90,96.0,50.152848685042905
91,82.0,-2.7612643588659287
92,64.0,35.72344286313728
93,56.0,0.15924060206845692
94,54.0,30.925462431810466
95,52.0,2.3290391084866577
96,51.0,27.499568324473938
97,50.0,4.462409302226879
98,47.0,22.293590602505912
99,46.0,7.3229225943046625
100,44.0,18.11008425734799
101,43.0,9.202929011846198
102,38.0,11.755787429975104
103,38.0,13.0438680170594
104,55.0,26.799556699693404
105,72.0,21.480675947227297
106,98.0,46.821826156340784
107,99.0,11.308173488704305
108,22.0,-26.625654385089348
109,24.0,56.085319170483146
110,30.0,-40.339022661607636
111,34.0,61.64461783774117
112,36.0,-36.17904436942026
113,38.0,56.27117186614201
114,40.0,-26.78191861415687
115,44.0,50.97420900354091
116,46.0,-18.377134301510466
117,107.0,103.92396357205908
118,119.0,-32.783051664136806
119,118.0,102.78680961791557
120,128.0,-14.985755177674212
121,136.0,94.59027803332081
122,139.0,-2.711190532911723
123,139.0,83.04812981038829
124,147.0,15.682446632413027
125,147.0,69.38240067518154
126,148.0,26.563311820085552
127,150.0,63.48518150654272
128,150.0,31.325464732661843
129,151.0,60.399830688142686
130,151.0,34.31959055494786
131,152.0,58.52383811579564
132,154.0,38.443663223655534
133,155.0,56.1945093052077
134,155.0,40.48806357857527
135,155.0,54.34095114221053
136,155.0,42.15577252602908
137,155.0,52.854010326578724
138,156.0,44.473002304687874
139,156.0,51.13912308219033
140,156.0,45.709034207896764
141,156.0,50.22310037290356
142,158.0,48.412407497741206
143,158.0,48.55918190139921
144,160.0,51.2950662988581
145,160.0,47.037540896347515
146,160.0,51.87575430037481
147,162.0,48.99003514620632
148,162.0,50.53955644680903
149,162.0,49.77852415577889
150,163.0,51.0938905166635
151,166.0,52.469947220250454
152,166.0,49.52041875535463
153,166.0,53.15595495010189
154,164.0,47.35496223209981
155,163.0,53.148760363713556
156,162.0,46.729945379123386
157,160.0,51.21827082134417
158,160.0,48.12746441359993
159,158.0,48.31955455951772
160,158.0,49.809865388534405
161,152.0,41.512444747179416
162,148.0,49.423522238244416
163,142.0,36.42395533346308
164,139.0,48.87023362527449
165,134.0,32.56860773523843
166,128.0,44.43245564225562
167,124.0,31.961094747908042
168,123.0,43.401967514140054
169,122.0,32.1368639424894
170,120.0,40.81202386911764
171,119.0,33.08917966004133
172,118.0,38.993627243674894
173,118.0,34.410649336689545
174,116.0,36.06841018514614
175,115.0,35.181358555745305
176,115.0,35.697582984421956
177,114.0,34.38827832689995
178,112.0,34.13007615739374
179,112.0,35.35140999983222
180,111.0,32.678294150003424
181,96.0,21.050959191193147
182,82.0,26.778929448681115
183,70.0,13.49687729452149
184,66.0,26.92497463897654
185,63.0,11.368891294365078
186,58.0,22.450438478566852
187,56.0,12.670834565835698
188,51.0,16.405524788937264
189,44.0,9.407418800027665
190,42.0,16.30754788379537
191,47.0,14.925577272648233
192,59.0,24.93042839608298
193,74.0,24.975405520907135
194,79.0,23.52677461113862
195,82.0,28.31532808467511
196,87.0,26.828274168453845
197,124.0,63.111800247088674
198,150.0,33.514306240561
199,151.0,57.15784443674887
200,162.0,48.96255213174233
201,167.0,
202,170.0,
203,170.0,
204,167.0,
